44,Kyle Lowry,44,TOR,1 yr/$12M  $12M PO 2017,12000000,12000000,12000000,,,,,,,,2,,,,TRUE,,,FALSE,TRUE,,,,Andy Miller,ASM Sports,,$187.4M
45,Devin Booker,45,PHX,Rookie contract  $4.6M QO 2019,2223600,2223600,2319360,2319360,3314365,3314365,4583767,4583767,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Leon Rose,CAA Sports,,$62.3M
46,NYK 2017 1st,46,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ORL 2017 1st,47,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Kevin Love,48,CLE,3 yrs/$67.9M  $25.6M PO 2019 *knee surgery Feb. 15,21165675,21165675,22642350,22642350,24119025,24119025,25595700,,,,4,,,,TRUE,,,,TRUE,,,,Jeff Schwartz,Excel Sports Management,,$131M
49,MIN 2017 1st,49,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SAC 2017 1st (worse of 1-10 own or PHL  11-30 to CHI),50,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PHX 2018 1st,51,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Aaron Gordon,52,ORL,Rookie contract  $7.3M QO 2018,4351320,4351320,5504420,5504420,7260330,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Calvin Andrews,BDA Sports Management,,$165.1M
53,DAngelo Russell,53,LAL,Rookie contract  $9.2M QO 2019,5332800,5332800,5562360,5562360,7019698,,9160706,,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Aaron Mintz & Austin Brown,CAA Sports,,$123.5M
54,Tristan Thompson,54,CLE,4 yrs/$67.7M,15330435,15330435,16400000,16400000,17469565,17469565,18539130,18539130,,,,,,,TRUE,,,FALSE,TRUE,,,,Rich Paul,Klutch Sports Group,,$70.2M
55,Rodney Hood,55,UTH,Rookie contract  $3.5M QO 2018,1406520,1406520,2386864,,3472887,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Travis King & Chris Patrick,Independent Sports & Entertainment (ISE),,$91.6M
56,SAC 2019 1st,56,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,
